"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SANIMA","2024-12-26","300","315","296.6","307","1.99 %","70,976.00"
"SANIMA","2024-12-24","305","306","297","301","-0.63 %","36,105.00"
"SANIMA","2024-12-23","299","302.9","293.5","302.9","1.30 %","71,110.00"
"SANIMA","2024-12-22","294.1","303.9","294.1","299","-0.37 %","43,436.00"
"SANIMA","2024-12-19","306","309","300","300.1","-1.93 %","108,839.00"
"SANIMA","2024-12-18","304.5","310","301","306","0.62 %","57,468.00"
"SANIMA","2024-12-17","305","310","303.6","304.1","-1.46 %","45,154.00"
"SANIMA","2024-12-16","315","315","304","308.6","-0.74 %","59,124.00"
"SANIMA","2024-12-12","322.3","322.3","309.3","310.9","-1.61 %","32,942.00"
"SANIMA","2024-12-11","313.6","316","305","316","2.76 %","50,740.00"
"SANIMA","2024-12-10","310","310","306.9","307.5","0.16 %","55,930.00"
"SANIMA","2024-12-09","310","313","304","307","-0.97 %","65,636.00"
"SANIMA","2024-12-08","313.8","314","308.2","310","-1.21 %","68,129.00"
"SANIMA","2024-12-05","310.2","317","310.2","313.8","-0.85 %","99,424.00"
"SANIMA","2024-12-04","323.3","323.3","314.3","316.5","-0.16 %","68,254.00"
"SANIMA","2024-12-03","324.9","324.9","314.6","317","-0.50 %","85,541.00"
"SANIMA","2024-12-02","325.5","325.5","318.1","318.6","-0.19 %","116,626.00"
"SANIMA","2024-12-01","329.4","329.4","316.7","319.2","-1.18 %","164,678.00"
"SANIMA","2024-11-28","320","324","318.1","323","0.94 %","101,408.00"
"SANIMA","2024-11-27","321.9","321.9","318","320","0.63 %","100,603.00"
"SANIMA","2024-11-26","315.4","318.9","314.2","318","0.82 %","99,030.00"
"SANIMA","2024-11-25","308","316","308","315.4","0.48 %","120,089.00"
"SANIMA","2024-11-24","320","320","313","313.9","-0.38 %","92,588.00"
"SANIMA","2024-11-21","323","323","315","315.1","-0.91 %","123,848.00"
"SANIMA","2024-11-20","319","319.9","317.7","318","-0.41 %","84,949.00"
"SANIMA","2024-11-19","323","323","318","319.3","-1.15 %","117,540.00"
"SANIMA","2024-11-17","325","328","322","323","0.06 %","113,998.00"
"SANIMA","2024-11-14","327.9","327.9","319.1","322.8","0.40 %","87,693.00"
"SANIMA","2024-11-13","322","324","320","321.5","-0.46 %","69,644.00"
"SANIMA","2024-11-12","327","329","322.1","323","-1.22 %","60,313.00"
"SANIMA","2024-11-11","328","330","324","327","0.31 %","158,371.00"
"SANIMA","2024-11-10","334.5","334.5","321.4","326","-0.61 %","112,951.00"
"SANIMA","2024-11-06","328.9","329","324.1","328","1.14 %","144,534.00"
"SANIMA","2024-11-05","327","328","323.4","324.3","-0.67 %","42,934.00"
"SANIMA","2024-10-30","329","330","324","326.5","-0.76 %","51,016.00"
"SANIMA","2024-10-29","326.9","331","323","329","1.86 %","93,790.00"
"SANIMA","2024-10-28","320.9","323","318.2","323","1.67 %","88,536.00"
"SANIMA","2024-10-27","319","322.9","317.1","317.7","-1.64 %","101,440.00"
"SANIMA","2024-10-24","332.5","339.1","319.6","323","-0.92 %","81,457.00"
"SANIMA","2024-10-23","330","342.7","325","326","-3.03 %","178,643.00"
"SANIMA","2024-10-22","334","345","332","336.2","0.66 %","86,255.00"
"SANIMA","2024-10-21","347.3","347.3","333","334","-1.91 %","103,753.00"
"SANIMA","2024-10-20","342","351","336.1","340.5","-2.16 %","138,063.00"
"SANIMA","2024-10-17","348","351.7","344.1","348","0.00 %","223,487.00"
"SANIMA","2024-10-16","349.5","350","346","348","0.81 %","93,610.00"
"SANIMA","2024-10-15","342.3","347.6","336","345.2","0.85 %","148,071.00"
"SANIMA","2024-10-09","350.9","350.9","338","342.3","-4.39 %","555,318.00"
"SANIMA","2024-10-08","365","365","357","358","-0.67 %","181,187.00"
"SANIMA","2024-10-07","363.4","364.5","356.3","360.4","1.15 %","243,777.00"
"SANIMA","2024-10-06","343","358","342","356.3","3.25 %","138,482.00"
"SANIMA","2024-10-02","350","351","342.2","345.1","-0.29 %","169,155.00"
"SANIMA","2024-10-01","333","348","333","346.1","3.93 %","169,866.00"
"SANIMA","2024-09-30","326.1","335.5","326.1","333","0.33 %","95,382.00"
"SANIMA","2024-09-29","325","333","324","331.9","0.39 %","69,023.00"
"SANIMA","2024-09-26","326","334","326","330.6","0.92 %","87,733.00"
"SANIMA","2024-09-25","320.1","328.8","318.1","327.6","2.34 %","87,286.00"
"SANIMA","2024-09-24","327","333","319.7","320.1","-2.11 %","109,553.00"
"SANIMA","2024-09-23","336.6","336.6","327","327","-0.91 %","105,790.00"
"SANIMA","2024-09-22","332.6","339","326.4","330","1.20 %","84,479.00"
"SANIMA","2024-09-18","325","333","322.1","326.1","0.34 %","115,099.00"
"SANIMA","2024-09-16","323.2","329","322.6","325","0.00 %","72,812.00"
"SANIMA","2024-09-15","332","342","324.7","325","-1.87 %","117,260.00"
"SANIMA","2024-09-12","327.8","335","319.1","331.2","3.05 %","96,245.00"
"SANIMA","2024-09-11","325","330","321.3","321.4","-1.11 %","75,066.00"
"SANIMA","2024-09-10","326","333.4","325","325","-0.58 %","117,702.00"
"SANIMA","2024-09-09","333","335","325.5","326.9","-2.13 %","168,715.00"
"SANIMA","2024-09-08","342.7","349.5","333","334","-0.60 %","101,629.00"
"SANIMA","2024-09-05","340","340","332.5","336","-0.86 %","122,219.00"
"SANIMA","2024-09-04","355.1","355.1","338.3","338.9","-2.67 %","115,208.00"
"SANIMA","2024-09-03","359","360","346","348.2","-1.36 %","157,249.00"
"SANIMA","2024-09-02","338","353.7","333.2","353","4.75 %","196,609.00"
"SANIMA","2024-09-01","340","351.9","336.1","337","-2.60 %","138,471.00"
"SANIMA","2024-08-29","358","358","345.1","346","-1.98 %","161,994.00"
"SANIMA","2024-08-28","358","367","351","353","0.57 %","197,871.00"
"SANIMA","2024-08-27","372","372","350","351","-5.14 %","346,554.00"
"SANIMA","2024-08-25","375","377","366","370","-1.99 %","354,667.00"
"SANIMA","2024-08-22","370","382","369","377.5","2.03 %","353,358.00"
"SANIMA","2024-08-21","370","375","358.1","370","0.27 %","297,048.00"
"SANIMA","2024-08-18","370","381","361","369","0.54 %","477,464.00"
"SANIMA","2024-08-15","354","373.5","352","367","5.73 %","735,532.00"
"SANIMA","2024-08-14","347","353.9","343","347.1","-0.54 %","234,526.00"
"SANIMA","2024-08-13","351.3","355","343.1","349","0.46 %","270,895.00"
"SANIMA","2024-08-12","340","350.9","340","347.4","2.63 %","350,247.00"
"SANIMA","2024-08-11","329","340","329","338.5","3.20 %","286,122.00"
"SANIMA","2024-08-08","329","335","324.4","328","-0.30 %","159,106.00"
"SANIMA","2024-08-07","310","330","310","329","6.13 %","307,468.00"
"SANIMA","2024-08-06","342","343","308","310","-9.36 %","397,900.00"
"SANIMA","2024-08-05","345","351.9","340","342","-0.87 %","207,535.00"
"SANIMA","2024-08-01","346","355","340","345","-0.58 %","271,160.00"
"SANIMA","2024-07-31","344","352","338.1","347","0.87 %","323,306.00"
"SANIMA","2024-07-30","343","350","329","344","-1.15 %","319,933.00"
"SANIMA","2024-07-29","364.6","371","343","348","-2.66 %","560,058.00"
"SANIMA","2024-07-28","331","357.5","331","357.5","10.00 %","578,373.00"
"SANIMA","2024-07-25","320","326","314","325","1.56 %","395,072.00"
"SANIMA","2024-07-24","320","329","317","320","0.00 %","496,990.00"
"SANIMA","2024-07-23","310","320","304","320","3.23 %","315,502.00"
"SANIMA","2024-07-22","319","319","304.2","310","-1.62 %","311,975.00"
"SANIMA","2024-07-21","304.5","319.1","301","315.1","3.45 %","512,917.00"
"SANIMA","2024-07-18","295","314","287","304.6","5.03 %","346,544.00"
"SANIMA","2024-07-17","288.6","291","283","290","2.47 %","172,441.00"
"SANIMA","2024-07-16","281.9","285.5","278","283","1.43 %","72,372.00"
"SANIMA","2024-07-15","284.5","286.5","276","279","-1.76 %","189,133.00"
"SANIMA","2024-07-14","283.5","285","276","284","2.16 %","198,358.00"
"SANIMA","2024-07-11","273.2","279","268.5","278","3.77 %","157,409.00"
"SANIMA","2024-07-10","267.4","268.1","262.2","267.9","2.17 %","97,938.00"
"SANIMA","2024-07-09","255.5","265","255.5","262.2","0.73 %","50,498.00"
"SANIMA","2024-07-08","263.1","266","259","260.3","-0.80 %","64,989.00"
"SANIMA","2024-07-07","260.1","267","260","262.4","0.92 %","100,197.00"
"SANIMA","2024-07-04","260","264","256.6","260","0.00 %","105,957.00"
"SANIMA","2024-07-03","253.5","260","252.2","260","2.56 %","60,914.00"
"SANIMA","2024-07-02","250.9","265.2","250.9","253.5","3.05 %","74,489.00"
"SANIMA","2024-07-01","245","246","240.1","246","2.20 %","31,353.00"
"SANIMA","2024-06-30","245","246.9","240","240.7","-1.76 %","41,437.00"
"SANIMA","2024-06-27","245.1","246.9","242","245","-0.12 %","23,331.00"
"SANIMA","2024-06-26","247.2","250","245.1","245.3","-0.73 %","23,518.00"
"SANIMA","2024-06-25","250","250","247","247.1","-0.76 %","28,940.00"
"SANIMA","2024-06-24","248.1","249","246.7","249","0.04 %","43,395.00"
"SANIMA","2024-06-23","250","250","248","248.9","-0.44 %","26,035.00"
"SANIMA","2024-06-20","256","256","247.1","250","-0.40 %","40,536.00"
"SANIMA","2024-06-19","253","253","248.1","251","1.17 %","24,467.00"
"SANIMA","2024-06-18","250","252.2","248","248.1","-0.96 %","44,786.00"
"SANIMA","2024-06-16","256","256","250","250.5","-0.60 %","34,392.00"
"SANIMA","2024-06-13","260","260","251.3","252","-1.56 %","34,035.00"
"SANIMA","2024-06-12","258","258","252","256","1.19 %","44,791.00"
"SANIMA","2024-06-11","254.4","254.4","248.5","253","1.40 %","63,955.00"
"SANIMA","2024-06-10","254","254","249","249.5","0.16 %","49,398.00"
"SANIMA","2024-06-09","256.2","256.2","249.1","249.1","-0.84 %","50,303.00"
"SANIMA","2024-06-06","250.2","253.1","250","251.2","-0.71 %","70,294.00"
"SANIMA","2024-06-05","254.5","255","251","253","0.60 %","36,229.00"
"SANIMA","2024-06-04","256","256","251.1","251.5","-0.28 %","35,715.00"
"SANIMA","2024-06-03","258","263","250","252.2","-0.32 %","26,561.00"
"SANIMA","2024-06-02","254","256","250.8","253","-0.78 %","79,569.00"
"SANIMA","2024-05-30","256","260","254","255","-2.30 %","54,777.00"
"SANIMA","2024-05-29","270.3","270.4","261","261","-1.51 %","102,506.00"
"SANIMA","2024-05-27","264","267","260","265","0.38 %","72,654.00"
"SANIMA","2024-05-26","267","267","259.2","264","-1.12 %","87,701.00"
"SANIMA","2024-05-22","260","271.9","260","267","1.91 %","212,525.00"
"SANIMA","2024-05-21","260.5","263","256.4","262","2.14 %","119,445.00"
"SANIMA","2024-05-20","248","265.1","248","256.5","3.39 %","156,616.00"
"SANIMA","2024-05-19","246.8","254","242.2","248.1","2.52 %","101,086.00"
"SANIMA","2024-05-16","245.8","245.8","240.1","242","0.41 %","44,967.00"
"SANIMA","2024-05-15","244.8","259","240","241","0.42 %","57,410.00"
"SANIMA","2024-05-14","243","243.7","238","240","0.42 %","60,222.00"
"SANIMA","2024-05-13","235","244.6","234.5","239","1.66 %","67,455.00"
"SANIMA","2024-05-12","236.6","240","232","235.1","1.34 %","74,015.00"
"SANIMA","2024-05-09","236","236","230","232","-0.09 %","35,084.00"
"SANIMA","2024-05-08","236","236","230","232.2","0.17 %","14,268.00"
"SANIMA","2024-05-07","230","233","228","231.8","0.35 %","18,662.00"
"SANIMA","2024-05-06","235","235","228.8","231","-0.47 %","48,857.00"
"SANIMA","2024-05-05","234","235","229","232.1","-1.44 %","25,108.00"
"SANIMA","2024-05-02","243.3","243.3","235","235.5","-1.30 %","23,695.00"
"SANIMA","2024-04-30","237.7","238.6","233.1","238.6","2.36 %","22,271.00"
"SANIMA","2024-04-29","237.5","237.5","232.9","233.1","0.09 %","14,734.00"
"SANIMA","2024-04-28","235.1","235.1","229.6","232.9","1.04 %","40,186.00"
"SANIMA","2024-04-25","229.1","234","229.1","230.5","-1.07 %","36,598.00"
"SANIMA","2024-04-24","230","233","228.6","233","1.30 %","30,104.00"
"SANIMA","2024-04-22","236","236","230","230","-1.29 %","34,846.00"
"SANIMA","2024-04-21","231.5","233","229.3","233","0.00 %","28,586.00"
"SANIMA","2024-04-18","233","233.8","230.4","233","-0.17 %","26,952.00"
"SANIMA","2024-04-16","232.2","235","232.2","233.4","-0.68 %","18,100.00"
"SANIMA","2024-04-15","236","237","233.4","235","-0.42 %","21,187.00"
"SANIMA","2024-04-14","241.5","241.5","235","236","-0.80 %","29,590.00"
"SANIMA","2024-04-10","239.1","239.1","235","237.9","-1.69 %","22,291.00"
"SANIMA","2024-04-09","239","242","238","242","1.47 %","39,688.00"
"SANIMA","2024-04-07","238","239","233.7","238.5","1.92 %","33,863.00"
"SANIMA","2024-04-04","235","237.5","233","234","-0.43 %","20,093.00"
"SANIMA","2024-04-03","235","237","233.2","235","0.17 %","23,042.00"
"SANIMA","2024-04-02","236.1","236.1","232.6","234.6","0.86 %","25,598.00"
"SANIMA","2024-04-01","236","237.9","232.5","232.6","-1.44 %","50,686.00"
"SANIMA","2024-03-31","237.1","239","235","236","-0.25 %","32,079.00"
"SANIMA","2024-03-28","238","238","233.1","236.6","0.17 %","23,553.00"
"SANIMA","2024-03-27","233.1","237","233","236.2","0.72 %","24,222.00"
"SANIMA","2024-03-26","238","240","234.5","234.5","-1.43 %","33,765.00"
"SANIMA","2024-03-25","240","240","236","237.9","-1.12 %","30,458.00"
"SANIMA","2024-03-21","245","245","240.6","240.6","-0.33 %","33,318.00"
"SANIMA","2024-03-20","244.9","244.9","240.1","241.4","0.17 %","31,595.00"
"SANIMA","2024-03-19","240.2","248","240.2","241","-1.23 %","29,182.00"
"SANIMA","2024-03-18","245","246","242","244","-1.21 %","24,511.00"
"SANIMA","2024-03-17","248","249.9","244.4","247","0.82 %","13,899.00"
"SANIMA","2024-03-14","247","249.9","245","245","-1.76 %","36,243.00"
"SANIMA","2024-03-13","248","252.9","247","249.4","0.56 %","33,903.00"
"SANIMA","2024-03-12","246","249","245","248","2.48 %","38,505.00"
"SANIMA","2024-03-10","245","245","242","242","-0.41 %","19,067.00"
"SANIMA","2024-03-07","245.7","245.7","241","243","0.83 %","22,358.00"
"SANIMA","2024-03-06","240","243","236","241","1.26 %","38,772.00"
"SANIMA","2024-03-05","244","244","237","238","-2.46 %","34,265.00"
